,START_rounded_CET,STOP_rounded_CET_lim,VOL,P_MAX,PHASE
0,2022-01-06 16:45:00+01:00,2022-01-07 02:45:00+01:00,21.2,2.2799999713897705,1
1,2022-01-11 17:30:00+01:00,2022-01-12 03:30:00+01:00,40.5,10.800000190734863,3
2,2022-01-13 12:00:00+01:00,2022-01-13 15:45:00+01:00,25.3,11.04599952697754,3
3,2022-01-19 17:00:00+01:00,2022-01-20 03:00:00+01:00,18.5,11.15999984741211,3
4,2022-01-21 11:45:00+01:00,2022-01-21 21:45:00+01:00,9.0,5.400000095367432,1
5,2022-01-25 19:45:00+01:00,2022-01-26 05:45:00+01:00,22.2,5.886000156402588,1
6,2022-01-26 17:15:00+01:00,2022-01-27 03:15:00+01:00,28.2,11.100000381469728,3
7,2022-01-26 18:45:00+01:00,2022-01-27 04:45:00+01:00,32.8,8.039999961853027,3
8,2022-01-28 13:00:00+01:00,2022-01-28 23:00:00+01:00,30.8,11.279999732971191,3
9,2022-01-30 17:15:00+01:00,2022-01-31 03:15:00+01:00,38.2,10.31999969482422,3
10,2022-02-07 19:45:00+01:00,2022-02-08 05:45:00+01:00,61.0,6.900000095367432,1
11,2022-02-08 19:15:00+01:00,2022-02-09 05:15:00+01:00,5.8,10.739999771118164,3
12,2022-02-18 19:30:00+01:00,2022-02-19 05:30:00+01:00,49.3,16.559999465942383,3
13,2022-02-20 13:00:00+01:00,2022-02-20 23:00:00+01:00,51.9,10.326000213623049,3
14,2022-02-22 13:30:00+01:00,2022-02-22 23:30:00+01:00,5.6,6.300000190734863,1
15,2022-02-27 12:00:00+01:00,2022-02-27 22:00:00+01:00,6.7,10.920000076293944,3
16,2022-03-09 17:15:00+01:00,2022-03-10 03:15:00+01:00,49.7,10.260000228881836,3
17,2022-03-10 08:45:00+01:00,2022-03-10 13:00:00+01:00,25.8,11.579999923706056,3
18,2022-03-21 19:15:00+01:00,2022-03-22 05:15:00+01:00,24.9,7.199999809265137,1
19,2022-03-23 14:45:00+01:00,2022-03-24 00:45:00+01:00,11.9,3.7799999713897705,1
20,2022-04-10 14:15:00+02:00,2022-04-11 00:15:00+02:00,58.1,11.15999984741211,3
21,2022-04-19 17:30:00+02:00,2022-04-20 03:30:00+02:00,31.0,6.665999889373779,1
