,Day-ahead price [EUR/MWh],datetime
2021-10-04 12:00:00+02:00,110.0,2021-10-04 12:00:00+02:00
2021-10-04 13:00:00+02:00,104.9,2021-10-04 13:00:00+02:00
2021-10-04 14:00:00+02:00,103.93,2021-10-04 14:00:00+02:00
2021-10-04 15:00:00+02:00,111.15,2021-10-04 15:00:00+02:00
2021-10-04 16:00:00+02:00,140.0,2021-10-04 16:00:00+02:00
2021-10-04 17:00:00+02:00,197.06,2021-10-04 17:00:00+02:00
2021-10-04 18:00:00+02:00,212.33,2021-10-04 18:00:00+02:00
2021-10-04 19:00:00+02:00,230.0,2021-10-04 19:00:00+02:00
2021-10-04 20:00:00+02:00,207.2,2021-10-04 20:00:00+02:00
2021-10-04 21:00:00+02:00,170.6,2021-10-04 21:00:00+02:00
2021-10-04 22:00:00+02:00,159.07,2021-10-04 22:00:00+02:00
2021-10-04 23:00:00+02:00,133.1,2021-10-04 23:00:00+02:00
2021-10-05 00:00:00+02:00,121.65,2021-10-05 00:00:00+02:00
2021-10-05 01:00:00+02:00,112.4,2021-10-05 01:00:00+02:00
2021-10-05 02:00:00+02:00,100.38,2021-10-05 02:00:00+02:00
2021-10-05 03:00:00+02:00,94.58,2021-10-05 03:00:00+02:00
2021-10-05 04:00:00+02:00,94.91,2021-10-05 04:00:00+02:00
2021-10-05 05:00:00+02:00,110.96,2021-10-05 05:00:00+02:00
2021-10-05 06:00:00+02:00,168.12,2021-10-05 06:00:00+02:00
2021-10-05 07:00:00+02:00,217.61,2021-10-05 07:00:00+02:00
2021-10-05 08:00:00+02:00,229.05,2021-10-05 08:00:00+02:00
2021-10-05 09:00:00+02:00,217.54,2021-10-05 09:00:00+02:00
2021-10-05 10:00:00+02:00,204.04,2021-10-05 10:00:00+02:00
2021-10-05 11:00:00+02:00,194.92,2021-10-05 11:00:00+02:00
2021-10-05 12:00:00+02:00,180.71,2021-10-05 12:00:00+02:00
2021-10-05 13:00:00+02:00,162.18,2021-10-05 13:00:00+02:00
2021-10-05 14:00:00+02:00,155.0,2021-10-05 14:00:00+02:00
2021-10-05 15:00:00+02:00,155.31,2021-10-05 15:00:00+02:00
2021-10-05 16:00:00+02:00,159.55,2021-10-05 16:00:00+02:00
2021-10-05 17:00:00+02:00,182.9,2021-10-05 17:00:00+02:00
2021-10-05 18:00:00+02:00,206.98,2021-10-05 18:00:00+02:00
2021-10-05 19:00:00+02:00,217.54,2021-10-05 19:00:00+02:00
2021-10-05 20:00:00+02:00,185.92,2021-10-05 20:00:00+02:00
2021-10-05 21:00:00+02:00,141.03,2021-10-05 21:00:00+02:00
2021-10-05 22:00:00+02:00,119.9,2021-10-05 22:00:00+02:00
2021-10-05 23:00:00+02:00,100.03,2021-10-05 23:00:00+02:00
2021-10-06 00:00:00+02:00,80.99,2021-10-06 00:00:00+02:00
2021-10-06 01:00:00+02:00,74.98,2021-10-06 01:00:00+02:00
2021-10-06 02:00:00+02:00,70.66,2021-10-06 02:00:00+02:00
2021-10-06 03:00:00+02:00,60.41,2021-10-06 03:00:00+02:00
2021-10-06 04:00:00+02:00,60.48,2021-10-06 04:00:00+02:00
2021-10-06 05:00:00+02:00,77.19,2021-10-06 05:00:00+02:00
2021-10-06 06:00:00+02:00,148.9,2021-10-06 06:00:00+02:00
2021-10-06 07:00:00+02:00,220.0,2021-10-06 07:00:00+02:00
2021-10-06 08:00:00+02:00,248.03,2021-10-06 08:00:00+02:00
2021-10-06 09:00:00+02:00,240.12,2021-10-06 09:00:00+02:00
2021-10-06 10:00:00+02:00,212.02,2021-10-06 10:00:00+02:00
2021-10-06 11:00:00+02:00,205.5,2021-10-06 11:00:00+02:00
2021-10-06 12:00:00+02:00,200.0,2021-10-06 12:00:00+02:00
